[2025-06-20 16:47:18] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:21] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:21] [模拟时间: 14:40] 环境状态 - 温度: 1215170263475574016.0°C, 湿度: 4554735486905717248.0%, CO2: 2744182676399311360.0 ppm, 光照: 59737041138299248640.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:47:21] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:21] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:21] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:21] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:21] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:21] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:21] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:21] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:24] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:24] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:24] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:24] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:24] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:24] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:24] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:24] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:27] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:27] [模拟时间: 14:43] 环境状态 - 温度: 1184696376067788288.0°C, 湿度: 5072842856956675072.0%, CO2: 2352793622177859584.0 ppm, 光照: 58490165689524879360.0 lux, 人数: 1, 场景: afternoon
[2025-06-20 16:47:27] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:27] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:27] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:27] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:27] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:27] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:27] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:27] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:30] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:30] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:30] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:30] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:30] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:30] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:30] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:30] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:33] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:33] [模拟时间: 14:46] 环境状态 - 温度: 1564619932954380544.0°C, 湿度: 5275299061023582208.0%, CO2: 5614341526188105728.0 ppm, 光照: 76027937561077923840.0 lux, 人数: 1, 场景: afternoon
[2025-06-20 16:47:33] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:33] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:33] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:33] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:33] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:33] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:33] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:33] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:36] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:36] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:36] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:36] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:36] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:36] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:36] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:36] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:39] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:39] [模拟时间: 14:49] 环境状态 - 温度: 1472649324450515200.0°C, 湿度: 4592786150471428096.0%, CO2: 6658270473386482688.0 ppm, 光照: 55424366482025807872.0 lux, 人数: 1, 场景: afternoon
[2025-06-20 16:47:39] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:39] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:39] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:39] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:39] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:39] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:39] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:39] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:42] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:42] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:42] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:42] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:42] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:42] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:42] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:42] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:45] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:45] [模拟时间: 14:52] 环境状态 - 温度: 1405602750851197184.0°C, 湿度: 4270478307379148288.0%, CO2: 9218127707142977536.0 ppm, 光照: 40404363165396811776.0 lux, 人数: 1, 场景: afternoon
[2025-06-20 16:47:45] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:45] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:45] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:45] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:45] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:45] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:45] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:45] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:48] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:48] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:48] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:48] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:48] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:48] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:48] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:48] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:51] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:51] [模拟时间: 14:55] 环境状态 - 温度: 1393619286844713728.0°C, 湿度: 4782609024750113792.0%, CO2: 7903392242911709184.0 ppm, 光照: 62843387520988561408.0 lux, 人数: 1, 场景: afternoon
[2025-06-20 16:47:51] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:51] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:51] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:51] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:51] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:51] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:51] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:51] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:54] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:54] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:54] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:54] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:54] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:54] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:54] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:54] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:57] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:57] [模拟时间: 14:58] 环境状态 - 温度: 2015761988904854016.0°C, 湿度: 4316625462359762944.0%, CO2: 12038104671292078080.0 ppm, 光照: 80861643242848813056.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:47:57] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:57] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:57] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:57] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:57] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:57] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:57] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:57] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:00] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:00] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:00] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:00] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:00] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:00] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:00] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:00] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:03] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:48:03] [模拟时间: 15:01] 环境状态 - 温度: 2100369137232505088.0°C, 湿度: 4899260649062674432.0%, CO2: 10321169992549046272.0 ppm, 光照: 58948137924036788224.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:48:03] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:03] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:03] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:03] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:03] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:03] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:03] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:03] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:06] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:06] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:06] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:06] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:06] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:06] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:06] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:06] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:09] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:48:09] [模拟时间: 15:04] 环境状态 - 温度: 2530982629837553664.0°C, 湿度: 5324001700169097216.0%, CO2: 12266372462016432128.0 ppm, 光照: 59575262212961411072.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:48:09] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:09] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:09] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:09] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:09] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:09] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:09] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:09] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:12] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:12] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
